old_code,new_code
0101010F0BDAAAU,0101010F0BDABBE
0101010L0BBAEAK,0101010L0BBAEAA
0101010Q0BDACAA,0101010Q0BDACAG
0101012B0BDAABV,0101012B0BDAABX
0101012B0BEAABV,0101012B0BEAABX
0101012B0BFAABW,0101012B0BFAAAU
010102100BBBGA0,010102100BBBGAB
0101021B0BEALA0,0101021B0BEALAG
0101021B0BEAMA0,0101021B0BEAMAG
0101021B0BEAPA0,0101021B0BEAPAR
0101021B0BEATA0,0101021B0BEATAR
0101021B0BEAUA0,0101021B0BEAUAR
0101021B0BEAWA0,0101021B0BEAWAR
0101021B0BNAAA0,0101021B0BNAAAC
0101021C0AADADA,0905011D0AAAPAP
0101021C0BMAADA,0905011D0BJABAP
0102000AIAAAAAA,0106070C0AAAAAA
0102000AIBBAAAA,0106070C0BBAAAA
010300000BBACAC,010300000BBACAB
0103030S0BBABAB,0103030S0BBABAD
0104020L0BBAEAE,0104020L0BBAEAB
0104020L0BPAAA0,0104020L0BPAAAM
0106010E0BBACAN,0106010E0BBACAD
0106010E0BEABAI,0106010E0BEABAJ
0106010E0BJAAAH,0106010E0BJAAAD
0106010E0BKAAAH,0106010E0BKAAAD
0106010E0BKABAN,0106010E0BKABAD
0106020C0BEAAAJ,0106020C0BEAAAX
0106020M0AAATAT,0106020V0AAABAB
0106020M0BBAGAT,0106020V0BCABAB
0106020M0BBAHAT,0106020V0BCAAAB
0106020M0BNAAAC,0106020V0BDABAA
0106020M0BNABAC,0106020V0BDAAAA
0106040M0BBACAC,0106040M0BBAIAB
0106040M0BBAFAG,0106040M0BBAJAB
020400030BCAAAB,020400030BCAAAE
0205020G0BDAAAA,0205020G0BDAAAC
0206010F0BBABCJ,0206010F0BBABCI
0206010F0BFABCJ,0206010F0BFABCI
0206010F0BRABCH,0206010F0BRABCG
0206010K0BXAAAP,0206010K0CUAAAP
0206010K0BXABAQ,0206010K0CUABAQ
0207020L0BBAAAA,0207020L0BBAAAB
0207020Y0BBAAAA,0207020Y0BBAAAE
0207020Y0BBABAD,0207020Y0BBABAF
0207020Y0BDAAAA,0207020Y0BDAAAE
0207020Y0BDABAD,0207020Y0BDABAF
0208010AEAAAAAA,0208040A0AAAAAA
0208010AEBBAAAA,0208040A0BBAAAA
0208020I0BEAAAE,0208020I0BEAAAG
0208020I0BEABAE,0208020I0BEABAG
0211000D0BBABAD,0211000D0BBABAF
0211000I0BEABAD,0211000I0BEABBD
0211000I0BGAIAP,0211000I0BGANAR
0211000I0BSAAAC,0211000I0BSADBF
0211000I0BSABAD,0211000I0BSACBG
021200000BHAAA0,091200000BFWDFS
0212000K0BBABAB,0212000K0BBABAA
0301011AAAAAAAA,0301040Y0AAAAAA
0301011AABBAAAA,0301040Y0BBAAAA
0301011ABAAAAAA,0302000AAAAACAC
0301011ABAAABAB,0302000AAAAABAB
0301011ABBBAAA0,0302000AABBAAAA
0301011ABBBABAA,0302000AABBACAC
0301011ABBBACAB,0302000AABBABAB
0301011E0BEAAAE,0301011E0BEAAAC
0301011R0BTAABX,0301011R0BTAAAQ
0301011R0BWABCA,0301011R0BWABAQ
0301011R0CBAAAX,0301011R0CBACCD
0301011R0CBABBD,0301011R0CBADCE
0301011Y0AAAAAA,0302000V0AAAAAA
0301011Y0AAABAB,0302000V0AAABAB
0301011Y0BBAAAA,0302000V0BBAAAA
0301011Y0BBABAB,0302000V0BBABAB
0301040U0AAAAAA,0301040W0AAAAAA
0301040U0BBAAAA,0301040W0BBAAAA
0301040U0BCAAAB,0301020T0BBAAAA
0301040V0AAAAAA,0301020U0AAAAAA
0301040V0BBAAAA,0301020U0BBAAAA
0301040Z0AAAAAA,0302000X0AAAAAA
0301040Z0AAABAB,0302000X0AAABAB
0301040Z0AAACAC,0302000X0AAACAC
0301040Z0BBAAAA,0302000X0BBAAAA
0301040Z0BBABAB,0302000X0BBABAB
0301040Z0BBACAC,0302000X0BBACAC
0302000C0AABXBX,0302000ABAAABAB
0302000C0AABYBY,0302000ABAAAAAA
0302000C0AABZBZ,0302000ABAAADAD
0302000C0AACACA,0302000ABAAACAC
0302000C0BLAABM,0302000C0BLAABU
0302000C0BLABBN,0302000C0BLABBJ
0302000C0BLACBP,0302000C0BLACBS
0302000C0BQAABX,0302000ABBCAAAB
0302000C0BQABBZ,0302000ABBCABAD
0302000C0BRAABY,0302000ABBBAAAA
0302000C0BRABCA,0302000ABBBABAC
0302000C0BUAABX,0302000ABBFAAAB
0302000C0BUABBZ,0302000ABBFABAD
0302000C0BWAABX,0302000ABBDAAAB
0302000C0BWABBZ,0302000ABBDABAD
0302000C0BXAABX,0302000ABBGAAAB
0302000C0BXABBZ,0302000ABBGABAD
0302000C0BYAABX,0302000ABBEAAAB
0302000C0BYABBZ,0302000ABBEABAD
0302000K0BFABAC,0302000K0BFABAW
0302000K0BGABAX,0302000K0BGABAG
0302000K0BGACAY,0302000K0BGACAH
0302000K0BIABBC,0302000K0BIABAM
0302000N0AABMBM,0302000V0AAAAAA
0302000N0AABNBN,0302000V0AAABAB
0302000N0BBAYBB,0302000N0BBAYBA
0302000N0BBBABD,0302000N0BBBABC
0302000N0BEAABM,0302000V0BBAAAA
0302000N0BEABBN,0302000V0BBABAB
0302000V0BCAAA0,0302000Z0BBAAAA
0302000W0AAABAB,0304020Z0AAABAB
0302000W0BBABAB,0304020Z0BBABAB
0303010Q0BBAJAL,0303010Q0BBAJAJ
0303020Z0BBAAAA,0303020Z0BBAAAB
0304010G0BHAAAN,0304010G0BHAAAP
0304010G0BIABAN,0304010G0BIABAP
0304010I0BEAAAC,0304010I0BEAAAA
0304010I0BEABAC,0304010I0BEABAA
0304010I0BFAAAC,0304010I0BFAAAA
0304010J0BCAAAA,0304010J0BCAAAE
0304030C0BCADAL,0304030C0BCADAY
0304030C0BCAFAW,0304030C0BCAFAY
0307000C0BEAAAM,0307000C0BEAEAK
0307000C0BEABAK,0307000C0BEAFAM
0307000C0BEACAJ,0307000C0BEACAR
0307000C0BFACAJ,0307000C0BFACAR
030902000BEDKA0,030902000BGAABC
0309020G0BBADAG,0309020G0BBADAT
0309020G0BGABAI,0309020G0BGABAN
0309020G0BHAFAG,0309020G0BHAFAT
0309020H0BHAAA0,0309020H0BHAEAH
0309020H0BKAAAI,0309020H0BJAFAI
0309020H0BLACAH,0309020H0BLACAI
0401010ADBCBZBP,0401010ADBCBZCY
0401010ADBCCABP,0401010ADBCCACY
0402010ADAAAIAI,0402020ADAAAAAA
0402010ADBCAAAI,0402020ADBBAAAA
0402010X0BBAJAT,0402010X0BBAJAK
0403010F0BBADAE,0403010F0BBADAK
0403010F0BBAFAG,0403010F0BBAFAR
0403010S0BBACAC,0403010S0BBACAE
0405010T0AAAAAA,0405020U0AAAAAA
0405010T0BBAAAA,0405020U0BBAAAA
0406000AEBBABAA,0406000AEBBABAB
0407010X0BDABAX,0407010X0BDABBM
0407010X0BTAGA0,0407010X0BTAGBC
0407010X0BTAHA0,0407010X0BTAHBC
0407010X0BTAPA0,0407010X0BTAPBC
0407010X0CDARA0,0407010X0CDARAF
0407010X0CDATA0,0407010X0CDATAF
0407010X0CDAVA0,0407010X0CDAVBI
0407010X0CFAABD,0407010ABBBANAB
0407010X0CPABA0,0407010X0CPABAF
0407010X0CQAAA0,0407010X0CQAAAF
0407010X0CQABA0,0407010X0CQABAF
0407010X0CRAEA0,0407010X0CRAEBI
0407010X0CYACA0,0407010X0CYACAF
0407010X0DDAABP,0407010X0DDAAAJ
0407010X0DEACA0,0407010X0DEACBI
0407020A0BNAGBQ,0407020A0BNAGBL
0407020A0BNAHBR,0407020A0BNAHBJ
0407020A0BNAIBS,0407020A0BNAIBH
0407020A0BPAABN,0407020A0BPAABJ
0407020A0BYAACA,0407020A0BYARCH
0407020A0BYABBX,0407020A0BYAMBX
0407020A0BYACBZ,0407020A0BYANBZ
0407020A0BYADAZ,0407020A0BYAPAZ
0407020A0BYAEBY,0407020A0BYAQBY
0407020A0BYAFBB,0407020A0BYASBB
0407020A0BYAGCB,0407020A0BYAMBX
0407020A0BYAHCC,0407020A0BYANBZ
0407020A0BYAICD,0407020A0BYAPAZ
0407020A0BYAJCE,0407020A0BYAQBY
0407020A0BYAKCF,0407020A0BYARCH
0407020A0BYALCG,0407020A0BYASBB
0407020AHAAAAAA,0407020AGAAAJAJ
0407020AHAAABAB,0407020AGAAAKAK
0407020AHAAACAC,0407020AGAAALAL
0407020AHAAADAD,0407020AGAAAMAM
0407020AHAAAEAE,0407020AGAAANAN
0407020AHBBAAAA,0407020AGBGAAAJ
0407020AHBBABAB,0407020AGBGABAK
0407020AHBBACAC,0407020AGBGACAL
0407020AHBBADAD,0407020AGBGADAM
0407020AHBBAEAE,0407020AGBGAEAN
0407020Q0BCAHCS,0407020Q0BCAHGB
0407020Y0BBABAB,0407020Y0BBABAD
0407041ACAAAAAA,0407042T0AAAAAA
0407041ACAAABAB,0407042T0AAABAB
0407041ACBBAAAA,0407042T0BBAAAA
0407041ACBBABAB,0407042T0BBABAB
0407041F0BFABAI,0407041F0BFABAM
0408010G0BBAFAT,0408010G0BBAFAQ
0408010Q0AAAYAY,0408010Z0AABIBI
0408010U0BBABAA,0408010U0BBABBC
0409010K0BBAIAA,0409010K0BBAIAI
0409010K0BBAJAE,0409010K0BBAJAM
0409010K0BBAKAB,0409010K0BBAKAJ
0409010K0BBALAD,0409010K0BBALAL
0409010K0BBAMAC,0409010K0BBAMAK
0409010P0BBAEAJ,0409010P0BBAEAE
0409010T0BBACAF,0409010T0BBACAL
0409020G0BBAAAA,0409020G0BBAAAC
0409020N0BCAAAI,0409020N0BCAAAM
0409030B0BBABAA,0409030B0BBABAH
0409030S0AAAAAA,0908010AVAAAAAA
0409030S0BBAAAA,0908010AVBBAAAA
0410020B0BBAAAA,0410020B0BBAABA
0410020B0BBABAB,0410020B0BBABBD
0410020B0BBAKBB,0410020B0BBAKBA
0410020B0BBALBE,0410020B0BBALBD
0410020B0BBAPBK,0410020B0BBAPBA
0410020B0BBAQBL,0410020B0BBAQBD
0410020B0BBARBM,0410020B0BBARBA
0410020B0BBASBN,0410020B0BBASBD
0410020B0BBAWBS,0410020B0BBAWBA
0410020B0BBAXBT,0410020B0BBAXBD
0410020B0BCAFBC,0410020B0BCAFBA
0410020B0BCAHBF,0410020B0BCAHBD
0410020B0BCAIBI,0410020B0BCAIBA
0410020B0BCAJBJ,0410020B0BCAJBD
0410020B0BCALAA,0410020B0BCALBA
0410020B0BCAMAB,0410020B0BCAMBD
0410020B0BCANBX,0410020B0BCANBD
0410020B0BCAPBY,0410020B0BCAPBA
0410020B0BDAKBG,0410020B0BDAKAY
0410020B0BDALBH,0410020B0BDALAZ
0410020B0BDAMBH,0410020B0BDAMAZ
0410020B0BDANBH,0410020B0BDANAZ
0410020B0BDAQBV,0410020B0BDAQBP
0410020B0BDATCB,0410020B0BDATBP
0410020B0BJABBQ,0410020B0BJABBP
0410020C0BBADAD,0410020C0BBADAC
0410020D0BCAAAC,0410020D0BCAAAA
0410030A0BDABAB,0410030A0AAAEAE
0411000H0AAAAAA,1108030ABAAAAAA
0411000H0AAABAB,1108030ABAAABAB
0411000H0AAACAC,1108030ABAAACAC
0411000H0BBAAAC,1108030ABBBAAAC
0501013K0BBAMAK,0501013K0BBAQAP
0501021E0BBAAAA,0501021E0BBAAAD
0501021E0BBABAB,0501021E0BBABAE
0501021H0BBAHAI,0501021H0BBAHAC
0501022D0BBADAD,0501022D0BBADAA
0501030I0AAAEAE,0501030Z0AAABAB
0501030I0BEADAE,0501030Z0BCAAAB
0501090N0BBAAAA,0501090N0BBABCJ
050301000BBAAA0,050301000BBAAAA
050301000BBABA0,0503010BBBBAAAA
050301000BBACA0,0503010BDBBAAAA
050301000BBADA0,0503010AZBBABAB
050301000BBAEA0,0503010BABBABAB
050301000BBAFA0,0503010BCBBAAAA
050301000BBAGA0,0503010BEBBAAAA
0503010ARAAAAAA,0503022F0AAAAAA
0503010ARBBAAAA,0503022F0BBAAAA
0504010G0BBABAB,0504010G0BBABAF
0504050T0BCAAAD,0504050T0BCAAAE
0505030A0BBABAB,0505030A0BBABAD
0601011N0BFACAG,0601011N0BFACAL
0601011N0BHAAAG,0601011N0BHAAAL
0601011R0BBAAAA,0601011R0BBAAAD
0601011R0BCAAAA,0601011R0BCAAAD
0601012AAAAAAAA,0601023AUAAAAAA
0601012AABBAAAA,0601023AUBBAAAA
0601012D0BBAMAV,0601012D0BBAMBZ
0601012D0BCARAV,0601012D0BCARBZ
0601012D0BCAZBA,0601012D0BCAZAZ
0601012D0BCBDAV,0601012D0BCBDBZ
0601012S0BDALAK,0601012S0BDALAL
0601012V0BBACAC,0601012V0BBACAD
0601040I0BBABAB,0601040I0BBABAD
0601040I0BDAAA0,0601040I0BDAAAG
0601040I0BDABA0,0601040I0BDABAG
0601040I0BDACA0,0601040I0BDACAG
0601040I0BDADA0,0601040I0BDADAG
0602010M0BFACAP,0602010M0BFACAW
0602010M0BIAABB,0602010M0BIABBC
0603020T0BLAEAD,0603020T0BLAEAR
0605010N0BHAAAA,0605010N0BHAAAE
0605020E0BCABAQ,0605020E0BCABAC
0605020E0BHAAAQ,0605020E0BHAAAC
0607020P0BBABAB,0607020P0BBABAA
0607020Y0AAAAAA,0803042S0AAACAC
0607020Y0BBAAAA,0803042W0BCAAAA
0702020H0BBABAB,0702020H0BBABAF
0702020H0BBACAC,1310020J0BBABAB
0702020H0BBADAE,0702020H0BBADAF
0702020H0BCADAE,0702020H0BCADAF
0702020H0BCAEAD,0702020H0BCAEAC
0704020AABDABAC,0403040Y0BEAAAA
0704020AABDADAD,0403040Y0BEABAB
0704020J0BCACAI,0704020J0BCACAZ
0704030J0BCAAAT,0704030J0BCAAAI
0704030J0BGAAAH,0704030J0BGAAAI
0704030J0BJAAAM,0704030J0BJAAAI
0704030J0BLAAAQ,0704030J0BLAAAI
0704050ABAAAAAA,0704060A0AAAAAA
0704050ABAAABAB,0704060A0AAABAB
0704050ABBBAAAA,0704060A0BBAAAA
0704050ABBBABAB,0704060A0BBABAB
0704050ABBBACAA,0704060A0BBACAA
0704050ABBBADAB,0704060A0BBADAB
0704050Y0BCAAAM,0704050Y0BCAAAV
0801020K0BCAGAE,0801020K0BCAGAJ
0801030L0BCAAAE,0801030L0BCABAQ
0801050BXAAAAAA,0801030AFAAAAAA
0801050BXAAABAB,0801030AFAAABAB
0801050BXBBAAAA,0801030AFBBAAAA
0801050BXBBABAB,0801030AFBBABAB
0802020V0AAABAB,0802040AZAAAAAA
0802020V0BCAAAB,0802040AZBBAAAA
0802040AIAAAAAA,0801050CUAAAAAA
0802040AIAAABAB,0801050CUAAABAB
0802040AIBBAAAA,0801050CUBBAAAA
0802040AIBBABAB,0801050CUBBABAB
0802040ANAAAAAA,0802030G0AAAAAA
0802040ANBBAAAA,0802030G0BBAAAA
0802040ARAAAAAA,0801050BZAAAAAA
0802040ARAAABAB,0801050BZAAABAB
0802040ARBBAAAA,0801050BZBBAAAA
0802040ARBBABAB,0801050BZBBABAB
0802040ASAAAAAA,0801050BYAAAAAA
0802040ASBBAAAA,0801050BYBBAAAA
0802040ATAAAAAA,0801050CXAAACAC
0802040ATAAABAB,0801050CXAAAAAA
0802040ATAAACAC,0801050CXAAABAB
0802040ATBBAAAA,0801050CXBBACAC
0802040ATBBABAB,0801050CXBBAAAA
0802040ATBBACAC,0801050CXBBABAB
0802040ATBCAAAB,0801050CXBCAAAA
0802040ATBCABAA,0801050CXBCABAC
0802040AUAAAAAA,0801050CAAAAAAA
0802040AUBBAAAA,0801050CABBAAAA
0802040AVAAAAAA,0801050CHAAAAAA
0802040AVAAABAB,0801050CHAAABAB
0802040AVBBAAAA,0801050CHBBAAAA
0802040AVBBABAB,0801050CHBBABAB
0802040AWAAAAAA,0801050CIAAAAAA
0802040AWBBAAAA,0801050CIBBAAAA
0802040AXAAAAAA,0801050CGAAAAAA
0802040AXAAABAB,0801050CGAAABAB
0802040AXBBAAAA,0801050CGBBAAAA
0802040AXBBABAB,0801050CGBBABAB
0802040BAAAAAAA,0801050CVAAAAAA
0802040BAAAABAB,0801050CVAAABAB
0802040BABBAAAA,0801050CVBBAAAA
0802040BABBABAB,0801050CVBBABAB
0802040M0BDABAH,0802040M0BDABAF
0802041A0AAAAAA,0802040AQAAAAAA
0802041A0BBAAAA,0802040AQBBAAAA
0803042P0AAACAC,0803042W0AAAAAA
0803042P0BBABAC,0803042W0BBAAAA
0803042S0BDAAAC,0803042W0BCAAAA
0902012H0BIADA0,0902012H0BIADAF
0902012H0BWAAA0,0902012H0BWAAAN
0902012H0BWABA0,0902012H0BWABAN
0902012H0BWACA0,0902012H0BWACAN
0902012L0BCAAAD,1902012L0BCADDH
0902012L0BDAADC,0902012L0BDAADD
0902012L0BEAADC,0902012L0BEAADD
0902021G0BBAAA0,0902021G0BBAABD
0902021G0BBABA0,0902021G0BBABBC
0902021G0BBAGA0,0902021G0BBAGBG
0902021G0BBAIA0,0902021G0BBAIAU
0902021G0BFAAA0,0902021G0BFAABD
0902021G0BFABA0,0902021G0BFABBC
0902021G0BFAEA0,0902021G0BFAEA3
0902021G0BFAFA0,0902021G0BFAFAU
0902021N0BBACA0,0902021N0BBACBF
0902021N0BBAFA0,0902021N0BBAFBG
0902021N0BDAKA0,0902021N0BDAKBG
0902021S0BBAAA0,0902021S0BBAACQ
0902021S0BCAAA0,0902021S0BCAADE
0902021S0BCAJBP,0902021S0BCAJDR
0902021S0BDABA0,0902021S0BDABCJ
0902021S0BDACA0,0902021S0BDACBP
0902021S0BDAFA0,0902021S0BDAFBU
0902021S0BDAGA0,0902021S0BDAGBQ
0902021S0BDAIA0,0902021S0BDAIBD
0902022A0BDACAA,0902022A0BDACAC
0903000P0BNAAA0,0905021S0BBAAAB
090401000AAA6A6,0913353A0AAAAAA
090401000AAA7A7,0913391B0AAAAAA
090401000AAALAL,0913161A0AAAGAG
090401000AABABA,0913142C0AAABAB
090401000AABDBD,0913353A0AAABAB
090401000AABKBK,0913445A0AAAAAA
090401000AABRBR,0913213A0AAADAD
090401000AABSBS,0913213A0AAAEAE
090401000AABTBT,0908010AUAAAAAA
090401000AABUBU,0913445A0AAAHAH
090401000AABVBV,0908010AIAAACAC
090401000AABXBX,0913221B0AAAAAA
090401000AABYBY,0913222A0AAAAAA
090401000AABZBZ,0913225A0AAAAAA
090401000AACACA,0913227A0AAAAAA
090401000AACBCB,0913205J0AAABAB
090401000AACCCC,0913205E0AAACAC
090401000AACDCD,0913205K0AAADAD
090401000AACECE,0913205N0AAAGAG
090401000AACFCF,0913681A0AAAAAA
090401000AACGCG,0913107A0AAAEAE
090401000AACHCH,0913361A0AAACAC
090401000AACICI,0913622A0AAAAAA
090401000AACJCJ,0913205Q0AAAAAA
090401000AACKCK,0913621A0AAAAAA
090401000AACLCL,0913181G0AAABAB
090401000AACMCM,0913181C0AAABAB
090401000AACNCN,0913181C0AAAAAA
090401000AACPCP,0913191A0AAAAAA
090401000AACQCQ,0913444A0AAABAB
090401000AACRCR,0913591A0AAAAAA
090401000AACSCS,0913521A0AAABAB
090401000AACTCT,0913521C0AAAAAA
090401000AACUCU,0913226D0AAAAAA
090401000AACVCV,0913205L0AAACAC
090401000AACWCW,0913224A0AAABAB
090401000AACXCX,0913201C0AAACAC
090401000AACYCY,0913206B0AAABAB
090401000AACZCZ,0913204C0AAABAB
090401000AADADA,0913205F0AAADAD
090401000AADBDB,0913206F0AAAAAA
090401000AADCDC,0913181Q0AAAAAA
090401000AADDDD,0913181M0AAAAAA
090401000AADEDE,0913449A0AAAAAA
090401000AADFDF,0913181N0AAAAAA
090401000AADGDG,0913181P0AAAAAA
090401000AADHDH,0913061C0AAACAC
090401000AADIDI,0913205R0AAAAAA
090401000BBAAA0,090401000BBAABA
090401000BBADAL,0913161A0BGAAAG
090401000BBAEA0,0913391A0BBAAAA
090401000BBAHA0,0913207A0BBAAAA
090401000BBAPA0,0913142B0BCAAAB
090401000BBBBA0,0913441A0BBAAAA
090401000BBBDA0,0913242A0BBAAAA
090401000BBBLAR,0913181I0BBAAAA
090401000BBBPA0,0913109A0BBAAAA
090401000BBBQA0,0913261J0BEAAAE
090401000BBBSA0,0913355A0BBAAAA
090401000BBBUA0,0913201D0BBAAAA
090401000BBBWA0,0913205G0BBAAAA
090401000BBCCA0,0913446A0BBAAAA
090401000BBCGA0,0913141E0BBAAAA
090401000BBCJAN,0913142B0BBAAAA
090401000BBCLA7,0913391B0BBAAAA
090401000BBCPA0,0913204D0BBAAAA
090401000BBCQA0,0913203A0BBAAAA
090401000BBDBAR,0913181J0BBAAAB
090401000BBDTA0,0913351A0BCAAAC
090401000BBESA0,0913445A0BDAAAD
090401000BBFGA0,0913204E0BBAAAA
090401000BBFIA0,0913206C0BBAAAA
090401000BBFLA6,0913353A0BBAAAA
090401000BBFMA0,0913111A0BBAAAA
090401000BBFUA0,0913142B0BDAAAC
090401000BBFZA0,0913261J0BEABAF
090401000BBGDA0,0913261J0BBAAAA
090401000BBGFA0,0913011M0BEABAA
090401000BBGIA0,0913481A0BBAAAA
090401000BBGSA0,0913431B0BBAAAA
090401000BBGWBA,0913142C0BBABAB
090401000BBGZBD,0913353A0BCAAAB
090401000BBHGA0,0913442A0BBAAAA
090401000BBHHA0,0913445B0BCAAAB
090401000BBHVBK,0913445A0BBAAAA
090401000BBHXA0,0913203C0BBAAAA
090401000BBHZA0,0913446C0BBAAAA
090401000BBIAA0,0913202A0BBAAAA
090401000BBIEA0,0913142B0BBABAA
090401000BBIIA0,0913205I0BBAAAA
090401000BBJCA0,0913081D0BBAAAA
090401000BBJDA0,0913081C0BBAAAA
090401000BBJFCH,0913361A0BBADAC
090401000BBJGA0,0913142C0BBACAB
090401000BBJGBA,0913142C0BBACAB
090401000BBJJA0,0913284A0BBAAAA
090401000BBJWA0,0913501A0BDAAAE
090401000BBJYA0,0913301A0BBAAAA
090401000BBJZA0,0913301A0BBACAA
090401000BBKAA0,0913301A0BBABAA
090401000BBKGA0,0913511A0BDAAAC
090401000BBKIA0,0913291A0BBAAAA
090401000BBKNA0,0110010A0BBAAAA
090401000BBKXA0,0913205D0BBABAA
090401000BBKYA0,0913205D0BBAAAA
090401000BBLAA0,0913205P0BBAAAA
090401000BBLCA0,0913205D0BBADAA
090401000BBLDCH,0913361A0BBAEAC
090401000BBLGA0,0913302A0BBAAAA
090401000BBLIA0,0913302A0BBABAA
090401000BBLJA0,0913302A0BBACAA
090401000BBLKA0,0913142C0BBAAAB
090401000BBLKBA,0913142C0BBAAAB
090401000BBLMA0,0913442A0BCAAAB
090401000BBLNA0,0913181L0BBAAAA
090401000BBLPA0,0913351A0BBABAB
090401000BBLQA0,0913204B0BBAAAA
090401000BBLSA0,0913201B0BBAAAA
090401000BBLTA0,0913205F0BBAFAB
090401000BBLUA0,0913351A0BBAAAA
090401000BBLVA0,0913205N0BEAAAB
090401000BBLZA0,0913205D0BBACAA
090401000BBMAA0,0913302A0BBADAA
090401000BBMBA0,0913111B0BBAAAA
090401000BBMCA0,090401000BBXUDA
090401000BBMDA0,090401000BBXSDA
090401000BBMEA0,090401000BBXTDA
090401000BBMGA0,0913205M0BBAGAC
090401000BBMNA0,0913261D0BCAAAA
090401000BBMQA0,0913206A0BBAAAA
090401000BBMSA0,0913284B0BBAAAA
090401000BBMUA0,0913201C0BBAAAA
090401000BBMWA0,0913205N0BBAHAF
090401000BBMYA0,0913205K0BCABAC
090401000BBMZA0,0913011M0BEAAAA
090401000BBNAA0,0913361A0BBAAAA
090401000BBNBA0,0913361A0BBABAA
090401000BBNCA0,0913572A0BBAAAA
090401000BBNDA0,0913204G0BBAAAA
090401000BBNFA0,0913206E0BBAAAA
090401000BBNGA0,0913181L0BBABAA
090401000BBNIBR,0913213A0BEAAAD
090401000BBNJBS,0913213A0BFAAAE
090401000BBNMA0,0913107A0BEAAAD
090401000BBNPA0,0913201F0BBAAAA
090401000BBNQA0,0913107A0BDAAAB
090401000BBNRA0,0913221C0BBAAAA
090401000BBNSA0,0913226C0BBAAAA
090401000BBNTA0,0913192A0BBABAA
090401000BBNUA0,0913212A0BBAAAA
090401000BBNZA0,0913141B0BCABAB
090401000BBPAA0,0913227B0BBACAC
090401000BBPBA0,0913237A0BBAAAA
090401000BBPDA0,0913236A0BBAAAA
090401000BBPEA0,0913235A0BBAAAA
090401000BBPGA0,0913238A0BBAAAA
090401000BBPHA0,0913232A0BBAAAA
090401000BBPIA0,0913233A0BBAAAA
090401000BBPJA0,0913234A0BBAAAA
090401000BBPKA0,0913231A0BBAAAA
090401000BBPLA0,0913701A0BBAAAA
090401000BBPMA0,0913447A0BBAAAA
090401000BBPNA0,0913571A0BBAAAA
090401000BBPQA0,0913212A0BCAAAB
090401000BBPRA0,0913261J0BCAAAB
090401000BBPTA0,0913225C0BBAAAA
090401000BBPUBT,0908010AUBBAAAA
090401000BBPVA0,0913211B0BBAAAA
090401000BBPWA0,0913211B0BBABAB
090401000BBPXA0,0913211B0BBACAC
090401000BBPYA0,0913211B0BBADAD
090401000BBPZA0,0913227C0BBAAAA
090401000BBQBA0,0913461K0BCAAAB
090401000BBQCA0,0913205F0BBAEAB
090401000BBQDA0,0913226A0BBAAAA
090401000BBQFA0,0913521A0BBACAA
090401000BBQGA0,0913521A0BBAAAA
090401000BBQHA0,0913521A0BBABAA
090401000BBQIA0,0913521B0BBAAAA
090401000BBQJA0,0913181G0BBAAAA
090401000BBQKA0,0913226B0BBAHAC
090401000BBQLA0,0913226B0BBAIAC
090401000BBQMA0,0913226B0BBAJAC
090401000BBQNA0,0913226C0BBABAB
090401000BBQPA0,0913222B0BBABAB
090401000BBQQA0,0913225C0BBABAB
090401000BBQRA0,0913227B0BBABAB
090401000BBQSA0,0913221A0BBAAAA
090401000BBQUA0,0913205F0BBAAAA
090401000BBQVA0,0913205F0BBABAA
090401000BBQWA0,0913205F0BBACAA
090401000BBQXA0,0913205F0BBADAA
090401000BBQYA0,0913201C0BBABAB
090401000BBQZA0,0913206B0BBAAAA
090401000BBRAA0,0913204C0BBAAAA
090401000BBRCA0,0913251A0BBAAAA
090401000BBRDA0,0913291A0BCAAAB
090401000BBRGA0,0913204H0BBAAAA
090401000BBRHA0,0913201G0BBAAAA
090401000BBRIA0,0913206G0BBAAAA
090401000BBRJA0,0913141B0BCAAAB
090401000BBRLA0,0913205K0BCAAAA
090401000BBRPA0,0913205N0BBAAAA
090401000BBRRA0,0913201E0BBABAB
090401000BBRSA0,0913201G0BBABAB
090401000BBRTA0,0913204F0BBABAB
090401000BBRUA0,0913204H0BBABAB
090401000BBRVA0,0913206D0BBABAB
090401000BBRWA0,0913206G0BBABAB
090401000BBRXA0,0913141D0BBAAAA
